ID,Name,Category,Price Tier,Neighborhood,Opening Hours,Closing Hours,Average Rating,Good for Kids
1,Hearty Smoothie Bar,Thai,Medium,Tribeca,09:30,15:30,2,False
2,Zesty Palace,Indian,Medium,Tribeca,11:30,21:00,3,True
3,Urban Brasserie,French,Medium,Great Kills,11:00,19:30,3,True
4,Tender Yogurt Shop,Italian,Expensive,Pelham Bay,08:30,17:30,1,False
5,Yummy Smokehouse,Indian,Expensive,Mott Haven,08:30,18:30,4,True
6,Harbor View Grill,Indian,Medium,Crown Heights,08:30,20:00,2,False
7,Zen Speakeasy,Thai,Cheap,Throgs Neck,09:30,21:30,0,False
8,Retro Oyster House,Mediterranean,Expensive,St. George,10:00,18:30,0,True
9,Serenity Juice Bar,Italian,Cheap,Forest Hills,11:30,21:30,1,False
10,Mountain View Gastropub,Thai,Cheap,Williamsburg,11:00,22:00,2,False
11,Oceanfront Doughnut Shop,Thai,Cheap,Flushing,09:30,18:00,3,False
12,Flavorful Fish House,Italian,Cheap,Chelsea,08:00,17:30,0,False
13,Homestyle Yogurt Shop,American,Cheap,Harlem,08:00,21:00,2,True
14,Fusion Tiki Bar,Japanese,Medium,Belmont,11:30,19:30,4,False
15,Elegant Tavern,Indian,Expensive,Astoria,08:30,14:30,5,True
16,Coconut Cove Candy Store,Mediterranean,Cheap,Mott Haven,10:00,23:30,0,False
17,Flavorful Cider House,Thai,Expensive,Brooklyn Heights,08:00,15:00,2,False
18,Bamboo Grove Pub,Japanese,Cheap,Lower East Side,08:30,18:30,1,False
19,Underground Court,Thai,Cheap,Upper West Side,10:00,23:30,1,True
20,Sensational Burger Joint,Japanese,Cheap,Sunnyside,09:30,23:30,5,True
21,Elegant Parlor,Italian,Cheap,Long Island City,12:00,18:30,1,False
22,Lakefront Court,American,Expensive,Eltingville,08:00,22:00,3,True
23,Mouthwatering Tea Room,Thai,Expensive,Long Island City,11:00,18:30,2,True
24,Rustic Ramen House,Japanese,Medium,Hunts Point,11:30,20:30,5,False
25,Wholesome Juice Bar,Indian,Cheap,Upper West Side,11:30,22:00,1,True
26,Harbor View Whiskey Bar,Indian,Medium,Fordham,09:30,16:30,3,True
27,Serenity Chocolate Shop,French,Cheap,St. George,12:30,23:30,3,False
28,Sunny Fish House,Thai,Cheap,Forest Hills,09:30,16:00,1,True
29,Savory Eatery,Chinese,Medium,Crown Heights,11:30,22:00,0,True
30,Mouthwatering Tea Room,Indian,Cheap,Tribeca,11:30,23:00,3,False
31,Oceanic Cuisine,Italian,Cheap,Greenpoint,11:30,19:30,4,True
32,Spice Route Spot,Italian,Medium,Tribeca,09:30,16:30,1,False
33,Ivy League Juice Joint,Italian,Expensive,Mott Haven,11:00,22:30,3,False
34,Flavorful Bakery,Italian,Medium,Eltingville,10:30,23:00,4,False
35,Palatable Joint,Italian,Medium,Stapleton,11:00,17:00,4,True
36,Elegant Cantina,Chinese,Cheap,Greenwich Village,11:00,21:00,1,True
37,Cherry Blossom Taproom,American,Medium,Bedford-Stuyvesant,09:30,15:00,0,True
38,Retro Bakery,Japanese,Medium,Westerleigh,12:00,19:00,4,False
39,Royal Speakeasy,Chinese,Medium,Sunnyside,10:30,21:00,2,False
40,Tender Brasserie,Japanese,Cheap,Williamsburg,10:00,20:00,0,False
41,Harbor View Steakhouse,Mediterranean,Expensive,Flatbush,08:00,17:00,2,False
42,Tender Smokehouse,American,Medium,Bedford-Stuyvesant,09:30,17:00,5,True
43,Sweet Pea Creamery,Italian,Expensive,Williamsburg,08:30,19:00,3,False
44,Firehouse Lounge,American,Expensive,Brooklyn Heights,11:00,18:30,3,True
45,Sapphire Grill,Mexican,Expensive,Flatbush,08:30,19:00,0,False
46,Coconut Cove Kitchenette,Japanese,Medium,Upper West Side,08:00,18:00,4,True
47,Summit Grill,Italian,Expensive,Morris Park,09:30,16:00,5,True
48,Vintage Cafeteria,Chinese,Cheap,SoHo,11:30,19:00,1,False
49,Highlands House,Japanese,Expensive,Astoria,12:00,20:30,3,True
50,Tender Brasserie,American,Medium,Tottenville,09:00,23:00,1,False
51,Mouthwatering Ice Cream Parlor,Mexican,Medium,New Dorp,09:30,23:00,3,True
52,Vintage Court,Mexican,Cheap,Midtown Manhattan,09:30,23:00,2,True
53,Rustic Court,Indian,Medium,Greenpoint,11:00,21:30,1,False
54,Hearty Eatery,Japanese,Expensive,Soundview,12:30,23:30,0,False
55,Wholesome Cantina,American,Medium,Crown Heights,08:30,16:00,3,True
56,Savory Bar & Grill,Japanese,Cheap,Crown Heights,10:30,21:00,4,True
57,Ivy League Hideaway,Thai,Medium,Flatbush,11:00,21:30,4,False
58,Riverside Coffeehouse,American,Cheap,Tribeca,09:30,19:30,4,True
59,Zesty Pub,Indian,Cheap,Bedford-Stuyvesant,12:30,18:30,5,True
60,Irresistible Bar & Grill,Mediterranean,Cheap,Throgs Neck,09:30,16:00,4,False
61,Satisfying House,Thai,Medium,Fordham,11:00,20:30,1,True
62,Family Tavern,Italian,Medium,Flushing,11:00,23:30,0,False
63,Retro Gelato Shop,Chinese,Cheap,Ridgewood,12:30,18:30,2,False
64,Palm Tree Kitchenette,Mexican,Medium,Brooklyn Heights,11:00,23:30,3,False
65,Tropical Parlor,Thai,Cheap,Forest Hills,11:30,21:30,4,True
66,Riverside Deli,Japanese,Cheap,St. George,11:30,19:30,3,False
67,Aromatic Speakeasy,Italian,Cheap,Riverdale,08:00,14:00,5,False
68,Satisfying Joint,French,Medium,Flatbush,10:30,16:30,4,False
69,Delectable Gelato Shop,Chinese,Cheap,Ridgewood,09:00,15:00,2,True
70,Serenity Spot,Thai,Expensive,Tompkinsville,08:00,15:00,2,False
71,Savory Taphouse,Japanese,Expensive,Bedford-Stuyvesant,08:00,19:30,2,False
72,Rooftop Creamery,French,Cheap,Ridgewood,12:00,22:00,5,False
73,Coconut Cove Diner,Thai,Medium,Williamsburg,10:00,19:30,4,True
74,Tropical Diner,Thai,Expensive,Brooklyn Heights,10:30,18:30,0,True
75,Golden Harvest Fish House,Italian,Expensive,Tribeca,12:00,21:30,5,False
76,Delectable Tearoom,Mediterranean,Medium,Park Slope,09:00,18:30,2,True
77,Yummy Diner,Thai,Cheap,Prospect Heights,11:30,23:00,0,True
78,Harbor View Tavern,Italian,Medium,St. George,08:00,15:30,5,True
79,Palm Tree Taco Shack,Mexican,Cheap,Greenwich Village,11:30,22:00,2,False
80,Tropical Smoothie Bar,Mediterranean,Cheap,Forest Hills,09:30,15:30,1,True
81,Aromatic Tearoom,American,Cheap,Ridgewood,12:00,22:30,0,True
82,Scrumptious Distillery,American,Expensive,Tompkinsville,12:00,20:00,2,True
83,Heavenly Brewpub,Thai,Expensive,Williamsburg,12:30,20:30,1,False
84,Wholesome Pub,Mexican,Cheap,Upper West Side,09:00,20:00,0,True
85,Maplewood Speakeasy,Japanese,Medium,Greenpoint,12:00,19:30,5,True
86,Mountain View Bar & Grill,Italian,Cheap,Chelsea,10:30,20:30,5,True
87,Flavorful House,Chinese,Expensive,Harlem,12:00,20:00,1,False
88,Fresh Hideaway,Indian,Expensive,Stapleton,12:30,20:30,0,False
89,Satisfying Grill & Bar,American,Cheap,Westerleigh,12:00,19:30,4,True
90,Family Joint,Mexican,Medium,Upper West Side,08:30,19:00,3,True
91,Zesty Brewpub,American,Medium,Belmont,12:00,19:30,3,False
92,Juicy Oyster Bar,Japanese,Cheap,Greenwich Village,11:00,21:30,3,False
93,Orchid Ramen House,Japanese,Cheap,Stapleton,08:30,14:30,5,True
94,Delicious Donut Store,Japanese,Cheap,Chelsea,11:00,23:00,5,False
95,Tasty Grill & Bar,Thai,Medium,Upper East Side,10:30,21:30,4,False
96,Cherry Blossom Lodge,Japanese,Expensive,Forest Hills,08:00,23:00,3,False
97,Seaside Place,Japanese,Expensive,Brooklyn Heights,12:30,22:00,4,False
